“Good Fighters” and “Great Negotiators”: Donald Trump Is Weirdly Full of Praise for the Taliban, 3 hours ago, In April 2020, as the coronavirus was engulfing the U.S., then president Donald Trump declared at his then daily coronavirus briefing,..., https://www.vanityfair.com/news/2021/08/donald-trump-taliban-good-fighters-great-negotiators  
‘Short and not especially sweet’: Lindsey Graham called Biden over Trump support, 2 days ago, The Republican senator told the president his attacks on his son Hunter were the 'bare minimum' to satisfy Trump supporters., https://www.theguardian.com/us-news/2021/aug/16/lindsey-graham-joe-biden-hunter-call-trump-support  
First look: Trump alumni plan voting group, 1 hour ago, Reality check: Although election security is a hot issue with Republicans even Bill Barr who was attorney general under President Trump said..., https://www.axios.com/trump-voting-election-integrity-voter-id-6bf5dcdb-d14b-43b1-b304-e42cad31a376.html  
Biden Is Expanding Trump’s War on “Domestic Violent Extremism” — and It’s Sweeping Up Black People, 12 hours ago, Former President Donald Trump's reelection campaign leveraged the crackdown in its marketing; by contrast the Biden administration has made..., https://theintercept.com/2021/08/18/civil-disorder-prosecutions-racial-justice-protests-extremism/  
Analysis | Biden Trump and Afghanistan: Statements that haven't ..., 1 day ago, In March 2020 President Donald Trump approved an agreement with the Taliban (not the Afghan government) for U.S. forces to leave the..., https://www.washingtonpost.com/politics/2021/08/17/biden-trump-afghanistan-statements-that-havent-aged-well/  
GOP Quietly Scrubs Webpage Detailing Trump's 'Historic Peace Agreement With the Taliban', 2 days ago, The GOP has pulled a webpage praising Donald Trump over his administration's “historic peace agreement with the Taliban., https://gizmodo.com/gop-quietly-scrubs-webpage-detailing-trumps-historic-pe-1847492947  
"The US Destroyed the Middle East" Trump Admits in New Interview, 14 hours ago, Former US President Donald Trump admitted on Tuesday that America destroyed the Middle East by invading Afghanistan almost 20 years ago., https://greekreporter.com/2021/08/18/us-destroyed-middle-east-trump-admits/  
Trump's 'Big Lie': Experts debunk election fraud claims, 1 day ago, In a recent survey of presidential scholars President Trump finished a dismal third from the bottom just ahead of perennial duds James..., https://www.latimes.com/politics/story/2021-08-17/trump-big-lie-experts-debunk-voting-fraud-claims  
Election officials call for audit guidelines after Trump-fueled surge, 1 day ago, Trump continues to lie about the election claiming there was widespread fraud. The most notable post-election review has been in Arizona where..., https://www.politico.com/news/2021/08/17/election-officials-call-for-audit-guidelines-after-trump-fueled-surge-505562  
Larry David 'screamed' at Alan Dershowitz at grocery store over Trump ties, 2 hours ago, It seems that Alan Dershowitz's ties to the Trump administration have made him persona non grata among the Martha's Vineyard elite..., https://pagesix.com/2021/08/18/larry-david-screamed-at-alan-dershowitz-at-grocery-store-over-trump-ties/  
Bob Woodward’s third book in Trump trilogy to cover handling of pandemic, 2 days ago, Washington Post reporter Bob Woodward's third book about Donald Trump will be called Peril completing a trilogy begun with Fear and Rage., https://www.theguardian.com/us-news/2021/aug/16/bob-woodward-peril-donald-trump-trilogy-books  
Biden officials: Trump left bare cupboard on Afghanistan, 1 day ago, That Trump-era deal between the U.S. and the Taliban called for a withdrawal of troops by May 2021. Separately Trump after losing the election..., https://www.axios.com/biden-trump-afghanistan-evacuation-blame-d96c09bb-a440-4335-9b4a-3b7688fab2ea.html  
Trump blasts media Biden admin over Hunter Biden 'blackmail' tape, 4 hours ago, Former President Donald Trump is blasting the Biden administration for not prosecuting Hunter Biden amid a recently revealed video clip..., https://nypost.com/2021/08/18/trump-blasts-media-biden-admin-over-hunter-biden-blackmail-tape/  
The Reckoning by Mary L Trump review – how to heal America’s trauma, 3 days ago, The book is a mixture of family lore history policy and anger. As expected Mary Trump's disdain for her uncle is once again made clear. At..., https://www.theguardian.com/books/2021/aug/15/the-reckoning-mary-l-trump-review-america-trauma-donald-racism-antisemitism  
Opinion | Can Democrats turn Trump's insurrection into a voting issue?, 1 day ago, But the Cook Political Report rates the seat “Solid Republican.” In 2020 President Donald Trump won the state by eight points. Nonetheless..., https://www.washingtonpost.com/opinions/2021/08/17/can-democrats-make-trumps-insurrection-into-voting-issue/  
Biden admin to ban pesticide tied to children's health problems reversing Trump-era decision, 1 hour ago, Under then-President Donald Trump the EPA announced in 2019 that it would not ban the pesticide after it concluded there is not sufficient..., https://www.cnn.com/2021/08/18/politics/epa-pesticide-ban-children-health/index.html  
UK defense minister blames Trump for Afghanistan Taliban crisis, 2 days ago, The UK's defense minister blamed Trump for the Afghanistan crisis saying 'the die was cast' when Trump negotiated a peace deal with the Taliban., https://www.businessinsider.com/uk-defense-minister-blames-trump-afghanistan-taliban-crisis-2021-8  
ACLU: Pentagon still using Trump policy blocking service members' path to citizenship | TheHill, 5 hours ago, The Pentagon is still operating under a Trump administration policy that blocks foreign-born service members from an expedited path to..., https://thehill.com/policy/defense/568418-aclu-pentagon-still-using-trump-policy-blocking-service-members-path-to  
GOP blames Biden for Afghanistan withdrawal but Trump brokered the deal, 2 days ago, Republicans blame Biden for the US's chaotic withdrawal but are glossing over how Trump's Taliban deal set up the disaster, https://www.businessinsider.com/gop-blames-biden-for-afghanistan-withdrawal-but-trump-brokered-the-deal-2021-8  
Judge grills lawyers for Fox News Powell Giuliani about election fraud claims in $2.7 billion Smartmatic defamation suit, 1 day ago, Kleinhendler was unable to respond to some of the claims presented to him by the judge. Powell was cut loose from Trump's legal team after a..., https://www.cnbc.com/2021/08/17/judge-grills-lawyers-for-fox-news-powell-giuliani-about-election-claims-in-smartmatic-suit.html  
Trump rips JPMorgan's Dimon over China threat: He is 'no patriot', 8 hours ago, Former President Donald Trump argues JPMorgan Chase CEO Jamie Dimon is solely concerned about his company's shareholders and profits., https://www.foxbusiness.com/politics/trump-rips-jpmorgan-jamie-dimon-china-threat-he-is-no-patriot  
Biden Isn't Trump. He's a Disaster In His Own Right., 1 day ago, Joe Biden was the perfect presidential candidate. It's likely that no other plausible Democratic nominee would have defeated Donald Trump in..., https://www.thedailybeast.com/biden-isnt-trump-hes-a-disaster-in-his-own-right  
New revelations expose future threat Trump poses, 1 week ago, Trump was unable to flout the will of voters in 2020. Some election experts fear that he -- or another like-minded Republican strongman -- could..., https://www.cnn.com/2021/08/09/politics/donald-trump-justice-department-elections-republicans/index.html  
Trump Just Said He Had No Idea 'How Important A President Is', 14 hours ago, This is an agreement which Biden has mostly upheld; it has simply been delayed. Trump's remarks also follow claims that circulated throughout..., https://www.huffpost.com/entry/trump-hannity-afghanistan-president_n_611cbcebe4b0e8ac79189632  
Trump will run for president in 2024 Sean Spicer claims, 1 week ago, Spicer reportedly remarked that Trump's appetite for the presidential election had been bolstered over the last several months after watching..., https://www.theguardian.com/us-news/2021/aug/07/trump-run-president-2024-sean-spicer  
QAnon Marked Friday As Trump ‘Reinstatement’ Day—Here Are Other Flop Predictions Of Trump’s Return, 5 days ago, The remaining hard-core QAnon followers who are still holding out hope that former President Donald Trump will somehow be reinstated as..., https://www.forbes.com/sites/nicholasreimann/2021/08/13/qanon-marked-friday-as-trump-reinstatement-day-here-are-other-flop-predictions-of-trumps-return/  
IRS ordered to hand over Donald Trump tax returns to Congress, 3 weeks ago, The US justice department has ordered the Internal Revenue Service (IRS) to hand over former President Donald Trump's tax returns to..., https://www.bbc.com/news/world-us-canada-58020969  
Trump-appointed judge orders Biden administration to reinstate Trump's 'remain in Mexico' policy, 3 days ago, A federal judge in Texas ordered the reversal of a key immigration policy. The judge ordered the Biden administration to revert back to Trump's..., https://www.businessinsider.com/remain-in-mexico-court-ruling-trump-appointed-judge-matthew-kacsmaryk-2021-8  
Biden is making more companies pay Trump's China tariffs, 1 day ago, Biden keeps many Trump tariffs in place confounding businesses hoping ... an exclusion from President Donald Trump's 25 percent import tax..., https://www.washingtonpost.com/us-policy/2021/08/17/biden-china-tariffs-trump/  
